"species","decimalLongitude","decimalLatitude"
"Didelphis virginiana",-87.708404,42.009227
"Didelphis virginiana",-121.2658396,39.2882577
"Didelphis virginiana",-119.869722,34.424444
"Didelphis virginiana",-103.98345,23.734617
"Didelphis virginiana",-99.7103987,25.2658209
"Didelphis virginiana",-86.78444,36.16589
"Didelphis virginiana",-119.683334,34.416668
"Didelphis virginiana",-97.467918,35.240031
"Didelphis virginiana",-100.651088,31.406795
"Didelphis virginiana",-122.644447,37.9025
"Didelphis virginiana",-96.334236,30.628199
"Didelphis virginiana",-92.3999768,30.2662035
"Didelphis virginiana",-93.655,16.176389
"Didelphis virginiana",-91.4109511,30.14221
"Didelphis virginiana",-97.335584,35.058313
"Didelphis virginiana",-95.99691,42.61003
"Didelphis virginiana",-97.293398,32.7789
"Didelphis virginiana",-119.826667,34.435833
"Didelphis virginiana",-97.556579,35.570944
"Didelphis virginiana",-88.0418751,42.2571452
"Didelphis virginiana",-99.036512,18.979722
"Didelphis virginiana",-99.711674,18.768892
"Didelphis virginiana",-73.785172,40.994376
"Didelphis virginiana",-98.595841,19.091392
"Didelphis virginiana",-120.288611,34.633056
"Didelphis virginiana",-91.1759459,30.4142018
"Didelphis virginiana",-103.708387,19.457298
"Didelphis virginiana",-122.151693,37.737401
"Didelphis virginiana",-92.2319725,30.2482045
"Didelphis virginiana",-86.37,12.22
"Didelphis virginiana",-80.3975,27.551193
"Didelphis virginiana",-91.73111,16.90889
"Didelphis virginiana",-103.730609,19.243103
"Didelphis virginiana",-98.43,19.2
"Didelphis virginiana",-122.7198287,38.4472223
"Didelphis virginiana",-93.9333789,43.6666227
"Didelphis virginiana",-91.1759458,30.3712032
"Didelphis virginiana",-105.079,19.54239
"Didelphis virginiana",-122.663887,37.915001
"Didelphis virginiana",-122.271,37.8571
"Didelphis virginiana",-99.288133,21.845589
"Didelphis virginiana",-90.7204588,19.3553664
"Didelphis virginiana",-85.8522326,13.1395812
"Didelphis virginiana",-76.15,44.85
"Didelphis virginiana",-96.57861,39.07309
"Didelphis virginiana",-105.1966438,21.4832828
"Didelphis virginiana",-106.411333,24.927167
"Didelphis virginiana",-96.4998142,37.0172009
"Didelphis virginiana",-122.16287,39.418406
"Didelphis virginiana",-98.38385,37.248604
"Didelphis virginiana",-94.4573283,38.9734305
"Didelphis virginiana",-91.6669566,29.8152201
"Didelphis virginiana",-104.6699729,24.0240042
"Didelphis virginiana",-122.217066,47.482878
"Didelphis virginiana",-90.9559407,30.5441982
"Didelphis virginiana",-99.455912,37.835625
"Didelphis virginiana",-103.49,18.96
"Didelphis virginiana",-122.485947,37.70865
"Didelphis virginiana",-104.051389,24.028611
"Didelphis virginiana",-103.672855,19.487819
"Didelphis virginiana",-99.731941,38.99139
"Didelphis virginiana",-99.021599,22.6532
"Didelphis virginiana",-92.0789273,44.4021226
"Didelphis virginiana",-101.106485,30.859011
"Didelphis virginiana",-79.64524,43.6843
"Didelphis virginiana",-91.9719657,30.2052066
"Didelphis virginiana",-106.909655,34.250289
"Didelphis virginiana",-91.663959,30.5801953
"Didelphis virginiana",-102.284164,21.786388
"Didelphis virginiana",-111.064536,31.707866
"Didelphis virginiana",-106.890831,34.058334
"Didelphis virginiana",-82.5615304,35.3037784
"Didelphis virginiana",-87.5583624,13.0417225
"Didelphis virginiana",-99.632167,21.417667
"Didelphis virginiana",-122.237843,37.883602
"Didelphis virginiana",-96.227787,38.94694
"Didelphis virginiana",-79.97854,43.04407
"Didelphis virginiana",-89.636404,20.174436
"Didelphis virginiana",-99.0775,16.885278
"Didelphis virginiana",-90.028897,35.33686
"Didelphis virginiana",-97.99818,23.826378
"Didelphis virginiana",-99.929571,41.599197
"Didelphis virginiana",-96.6991,16.69322
"Didelphis virginiana",-95.627609,29.369565
"Didelphis virginiana",-99.733333,21.1
"Didelphis virginiana",-121.89335,39.318141
"Didelphis virginiana",-89.336797,18.611011
"Didelphis virginiana",-102.097694,19.426583
"Didelphis virginiana",-88.3199727,41.7605413
"Didelphis virginiana",-103.822933,22.545417
"Didelphis virginiana",-89.233333,20.433333
"Didelphis virginiana",-91.0559432,30.5301984
"Didelphis virginiana",-92.0969689,30.2232056
"Didelphis virginiana",-85.19206,34.95446
"Didelphis virginiana",-99.326393,38.951653
"Didelphis virginiana",-91.2749499,30.8481878
"Didelphis virginiana",-121.994188,37.970682
"Didelphis virginiana",-119.75,36.49
"Didelphis virginiana",-92.4319776,30.2652034
"Didelphis virginiana",-82.305645,29.673698
"Didelphis virginiana",-99.510597,39.401646
"Didelphis virginiana",-122.356007,47.313029
"Didelphis virginiana",-97.714722,32.688185
"Didelphis virginiana",-103.54182,20.4814455
"Didelphis virginiana",-99.554169,22.498056
"Didelphis virginiana",-100.330981,31.667677
"Didelphis virginiana",-96.657778,19.343889
"Didelphis virginiana",-89.116667,14.9
"Didelphis virginiana",-100.439226,31.484386
"Didelphis virginiana",-84.4764939,42.7287498
"Didelphis virginiana",-92.4449817,31.3111704
"Didelphis virginiana",-99.305833,19.034444
"Didelphis virginiana",-97.600112,35.251168
"Didelphis virginiana",-90.092167,18.7015
"Didelphis virginiana",-80.23744,42.85788
"Didelphis virginiana",-100.168333,25.690833
"Didelphis virginiana",-83.7261712,42.2707552
"Didelphis virginiana",-105.227898,21.166599
"Didelphis virginiana",-122.02074,48.46071
"Didelphis virginiana",-99.463333,19.723333
"Didelphis virginiana",-100.184444,17.484444
"Didelphis virginiana",-100.800335,31.790236
"Didelphis virginiana",-88.147222,41.785833
"Didelphis virginiana",-88.175061,42.020482
"Didelphis virginiana",-104.16333,41.64028
"Didelphis virginiana",-89.31556,36.46778
